OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S100_A1000000_D50_R1000_Constrains,0,12167.1,0,0,0,0,0,0,0,0,21021.1,0,0,9455.4,0,0,2574.9,0,0,0,0,0,0,0,0,0,23736,36881.3,0,8633.5,0,0,0,0,0,13284.5,11288.6,0,0,0,61751.6,0,0,8518.4,6487.7,0,0,0,0,8653,0,41847.2,0,0,0,0,0,0,0,2906,30225.7,15322.4,2625.3,0,0,8045.1,0,0,0,0,0,0,0,0,0,29357.2,0,0,0,5220.7,0,0,0,30011.7,0,1945.4,0,0,0,0,0,0,0,0,0,5228.8,11400.8,0,0,29274.3,0,0,0,0,0,0,0,63318.6,6027.8,10379.2,5020.1,0,72544.3,0,78014.6,1718.6,0,0,0
OB_S100_A1000000_D50_R1000_Kraken,0,31418,0,0,0,0,0,0,2778,0,74977,0,0,13661,0,0,3524,0,0,0,0,0,0,0,0,5730,65040,13288,0,31674,0,0,0,0,0,85831,4421,3015,0,0,26003,9611,0,14028,1445,0,0,0,3914,3256,0,13486,0,0,0,0,0,0,0,3624,29207,20990,1571,16765,0,38646,0,0,0,0,0,0,0,0,0,33049,0,0,0,3401,0,0,0,29073,0,10012,0,0,0,45788,0,0,0,0,0,2105,5190,0,0,7073,0,0,0,0,13843,0,0,11187,3374,52139,6132,0,14004,4822,15894,0,10319,0,116
OB_S100_A1000000_D50_R1000_MetaMix*,0,31532.5,0,0,0,0,0,0,2777,0,74969.5,0,0,0,0,0,6317.5,0,0,0,0,0,0,7994,0,5734.5,65041,13386,0,31604.5,0,0,0,0,0,189969.5,4429.5,3016,0,0,26055,9794.5,0,14078.5,1442,0,0,0,3953,3306.5,0,13523.5,0,0,0,0,0,0,0,6900.5,28738.5,21066.5,0,15262.5,0,38739.5,0,0,0,0,0,0,0,0,0,65583.5,0,0,0,3367.5,0,0,0,45040.5,0,10041,0,0,0,44371,0,0,0,0,0,0,6409,0,0,14434,0,0,0,0,14089,0,0,11451,3306.5,52077,13017.5,0,14108,4865,15886.5,0,8854,0,2454
OB_S100_A1000000_D50_R1000_MetaPhlan2,0,12167.1,0,0,0,0,0,0,0,0,21021.1,0,0,9455.4,0,0,2574.9,0,0,0,0,0,0,0,0,0,23736,36881.3,0,8633.5,0,0,0,0,0,13284.5,11288.6,0,0,0,61751.6,0,0,8518.4,6487.7,0,0,0,0,8653,0,41847.2,0,0,0,0,0,0,0,2906,30225.7,15322.4,2625.3,0,0,8045.1,0,0,0,0,0,0,0,0,0,29357.2,0,0,0,5220.7,0,0,0,30011.7,0,1945.4,0,0,0,0,0,0,0,0,0,5228.8,11400.8,0,0,29274.3,0,0,0,0,0,0,0,63318.6,6027.8,10379.2,5020.1,0,72544.3,0,78014.6,1718.6,0,0,0
OB_S100_A1000000_D50_R1000_PathoScope2,0,30527,0,0,0,0,0,0,0,0,74978,0,0,0,0,0,4393,0,0,0,0,0,0,0,0,0,60041,0,0,31147,0,0,0,0,0,177368.5,0,3029,0,0,26012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19032,20554,0,0,0,34819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31989,0,0,0,0,0,43838.5,0,0,0,0,0,0,0,0,0,13951.5,0,0,0,0,13638.5,0,0,11290,0,50676.5,13211,0,0,0,15894,0,0,0,0
OB_S100_A1000000_D50_R1000_Sigma,0,46844.35,0,0,0,0,0,0,0,0,114238,0,0,20855.355,0,0,4277.634,0,0,0,0,0,0,12037.491,0,0,0,11806.8,0,11302.4,0,0,0,0,0,288266.03,0,0,0,0,19846.2,14688.4,0,5718.63,0,0,0,0,5973.72,4970.72,0,20643.1,0,0,0,0,0,0,0,8906.38,7788.89,11345.94,0,25975.08,0,41571.121,0,0,0,0,0,0,0,0,0,79473.71,0,0,0,5192.08,0,0,0,40701.6,0,15287.7,0,0,0,3002.89,0,0,0,0,0,36911.61,6029.1,0,0,15383.9,0,0,0,0,0,0,0,0,0,76126.446,15664.08,0,21419,0,0,3239.52,0,0,3544.507
OB_S100_A1000000_D50_R1000_Taxator-tk,0,29544,0,0,0,0,0,0,165,0,13678,0,0,12597,0,0,5042,0,0,0,0,0,0,0,0,243,63319,8087,0,30133,0,0,0,0,0,185532,217,196,0,0,21611,3952,0,13475,43,0,0,0,243,181,0,6967,0,0,0,0,0,0,0,6470,25790,20206,1328,16366,0,37825,0,0,0,0,0,0,0,0,0,61419,0,0,0,3155,0,0,0,0,0,9643,0,0,0,9683,0,0,0,0,0,23652,2474,0,0,10640,0,0,0,0,11580,0,0,208,2722,50249,12688,0,564,566,1371,938,6766,0,1121
OB_S100_A1000000_D50_R150_Centrifuge,0,42240.5,0,0,0,0,0,0,1390,0,42808.5,0,0,6951,0,0,4967.5,0,0,0,0,0,0,0,0,2887.5,58705.5,9791.5,0,18002,0,0,0,0,0,206452,2256,1436,0,0,13162,4735,0,9778.5,751,0,0,0,1934.5,3168.5,0,10504,0,0,0,0,0,0,0,7388.5,17763,17464,983,16189.5,0,43452,0,0,0,0,0,0,0,0,0,61839.5,0,0,0,2083.5,0,0,0,39838,0,8239.5,0,0,0,23975.5,0,0,0,0,0,18866.5,4300.5,0,0,13404.5,0,0,0,0,8817,0,0,5675,1926.5,48358.5,11695.5,0,6894.5,2503,8022,1671,5251,0,1354
OB_S100_A1000000_D50_R150_Constrains,0,11275.1,0,0,0,0,0,0,0,0,22336.1,0,0,7548.4,0,0,2081.2,0,0,0,0,0,0,0,0,0,19687.9,29896.2,0,11490.1,0,0,0,0,0,11539.7,10370.2,0,0,0,54523.4,0,0,7851.3,6609.9,0,0,0,0,7743.6,0,48595,0,0,0,0,0,0,0,2823.1,26909.6,13821.5,2869.1,0,0,8421.5,0,0,0,0,0,0,0,0,0,27334.4,0,0,0,4473.5,0,0,0,23705.2,0,2030.1,0,0,0,0,0,0,0,0,0,4687,10742.8,0,0,24797,0,0,0,0,0,0,0,59253.4,6405.5,9931.1,4537.1,0,63616.3,0,61379.4,1669.6,0,0,0
OB_S100_A1000000_D50_R150_Kraken,0,31542,0,0,0,0,0,0,2776,0,75213,0,0,13691,0,0,3050,0,0,0,0,0,0,0,0,5771,65109,13477,0,31694,0,0,0,0,0,68082,4512,2871,0,0,26231,9446,0,14076,1433,0,0,0,3869,3199,0,13343,0,0,0,0,0,0,0,2628,29240,20854,1525,16576,0,38691,0,0,0,0,0,0,0,0,0,26046,0,0,0,3393,0,0,0,25316,0,9961,0,0,0,45476,0,0,0,0,0,1360,5367,0,0,5832,0,0,0,0,13735,0,0,11084,3374,51844,4276,0,13731,4963,16044,0,10480,0,72
OB_S100_A1000000_D50_R150_MetaMix*,0,31631,0,0,0,0,0,0,2762,0,75112,0,0,13799.5,0,0,5030,0,0,0,0,0,0,0,0,5770,65185,13509,0,31499.5,0,0,0,0,0,188806,4510.5,2871.5,0,0,25942,9462.5,0,14119.5,1413,0,0,0,3864,3200.5,0,13376,0,0,0,0,0,0,0,6798,29234.5,20446.5,1515.5,17020,0,38681,0,0,0,0,0,0,0,0,0,65999.5,0,0,0,3379,0,0,0,45201,0,9968,0,0,0,45491,0,0,0,0,0,24320,5450,0,0,14496,0,0,0,0,14114,0,0,11186.5,3367.5,52579,13156.5,0,13776.5,4986,16000,0,10477,0,0
OB_S100_A1000000_D50_R150_MetaPhlan2,0,11275.1,0,0,0,0,0,0,0,0,22336.1,0,0,7548.4,0,0,2081.2,0,0,0,0,0,0,0,0,0,19687.9,29896.2,0,11490.1,0,0,0,0,0,11539.7,10370.2,0,0,0,54523.4,0,0,7851.3,6609.9,0,0,0,0,7743.6,0,48595,0,0,0,0,0,0,0,2823.1,26909.6,13821.5,2869.1,0,0,8421.5,0,0,0,0,0,0,0,0,0,27334.4,0,0,0,4473.5,0,0,0,23705.2,0,2030.1,0,0,0,0,0,0,0,0,0,4687,10742.8,0,0,24797,0,0,0,0,0,0,0,59253.4,6405.5,9931.1,4537.1,0,63616.3,0,61379.4,1669.6,0,0,0
OB_S100_A1000000_D50_R150_PathoScope2,0,29292,0,0,0,0,0,0,0,0,75220.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63907,13478.5,0,27440.5,0,0,0,0,0,182460,0,0,0,0,26272.5,9466,0,11693,0,0,0,0,0,0,0,13382.5,0,0,0,0,0,0,0,0,26588.5,17563.5,0,14387,0,37571.5,0,0,0,0,0,0,0,0,0,65300,0,0,0,0,0,0,0,45205,0,9971.5,0,0,0,43451,0,0,0,0,0,24284.5,0,0,0,13991.5,0,0,0,0,12150.5,0,0,11053,0,48375.5,12343.5,0,13823,0,16044,0,8991.5,0,0
OB_S100_A1000000_D50_R150_Sigma,0,44425,0,0,0,0,0,0,0,0,107219.7,0,0,19694.396,0,0,5429.851,0,0,0,0,0,0,11224.8,0,0,0,13362.5,0,23481.1,0,0,0,0,0,268165.43,0,0,0,0,19289.1,13502.9,0,11134.61,0,0,0,0,5516.89,4590.08,0,19087.9,0,0,0,0,0,0,0,8910.31,11721.69,18611.28,0,24300.08,0,44959.965,0,0,0,0,0,0,0,0,0,81800.59,0,0,0,4847.62,0,0,0,45420.9,0,14228.9,0,0,0,2926.831,0,0,0,0,0,34525.5,6390.03,0,0,17616.7,0,0,0,0,0,0,0,0,0,73354.271,16780.14,0,19751.9,0,0,3102.36,0,0,3399.901
OB_S100_A1000000_D50_R150_Taxator-tk,0,26248.5,0,0,0,0,0,0,57,0,4677,0,0,11298,0,0,4505.5,0,0,0,0,0,0,0,0,132,59772.5,4945.5,0,28769.5,0,0,0,0,0,178736,69,91,0,0,15811.5,2238,0,12968,13.5,0,0,0,137.5,79,0,3596,0,0,0,0,0,0,0,4809,24335,18178.5,927,14725.5,0,35655.5,0,0,0,0,0,0,0,0,0,47285,0,0,0,2570.5,0,0,0,0,0,9093.5,0,0,0,4209,0,0,0,0,0,20332.5,1546.5,0,0,6805.5,0,0,0,0,8107.5,0,0,125,2083,44926,11724,0,292.5,365,695,395,4646.5,0,439.5
OB_S100_A1000000_D50_R300_Centrifuge,0,40210,0,0,0,0,0,0,1441,0,46351,0,0,6980,0,0,4770,0,0,0,0,0,0,0,0,2850.5,55711.5,9126.5,0,16812.5,0,0,0,0,0,217480,2232.5,1444,0,0,13034.5,4805.5,0,8619,764.5,0,0,0,1935.5,3051,0,10039.5,0,0,0,0,0,0,0,6766.5,16791.5,15291.5,868.5,14346.5,0,46826.5,0,0,0,0,0,0,0,0,0,57957.5,0,0,0,1785,0,0,0,40877.5,0,6403.5,0,0,0,24084.5,0,0,0,0,0,22128.5,4048,0,0,12070,0,0,0,0,8022.5,0,0,5725.5,1801,52818,11053,0,6850,2426,8021.5,2073,5286.5,0,1421.5
OB_S100_A1000000_D50_R300_Constrains,0,12001.9,0,0,0,0,0,0,0,0,21770.3,0,0,8165.1,0,0,2290.5,0,0,0,0,0,0,0,0,0,21053.6,32192,0,9992.9,0,0,0,0,0,12096.4,10580.5,0,0,0,59124.2,0,0,8307.5,6594.6,0,0,0,0,7590.5,0,41037.2,0,0,0,0,0,0,0,2966.8,28150.4,14373.8,2637.4,0,0,8083.5,0,0,0,0,0,0,0,0,0,28692.5,0,0,0,4545,0,0,0,25715.7,0,2003.6,0,0,0,0,0,0,0,0,0,4991.2,10616.1,0,0,26509.9,0,0,0,0,0,0,0,61211.1,6148.2,9863.8,4862.9,0,67381.2,0,67271.9,1865.8,0,0,0
OB_S100_A1000000_D50_R300_Kraken,0,31228,0,0,0,0,0,0,2879,0,75223,0,0,13788,0,0,3519,0,0,0,0,0,0,0,0,5701,65091,13320,0,31558,0,0,0,0,0,84415,4465,2886,0,0,26048,9577,0,14180,1484,0,0,0,3871,3105,0,13660,0,0,0,0,0,0,0,3437,29068,21010,1450,16975,0,38810,0,0,0,0,0,0,0,0,0,32808,0,0,0,3283,0,0,0,28581,0,9846,0,0,0,45717,0,0,0,0,0,2044,5394,0,0,6925,0,0,0,0,14057,0,0,11305,3298,51860,6125,0,13666,4804,16043,0,10541,0,110
OB_S100_A1000000_D50_R300_MetaMix*,0,31326,0,0,0,0,0,0,2878.5,0,75128.5,0,0,0,0,0,6445,0,0,0,0,0,0,7833,0,5694.5,65101,13364.5,0,31454,0,0,0,0,0,189050,4461,2892,0,0,26045,9730,0,14232,1468,0,0,0,3908,0,0,13694.5,0,0,0,0,0,0,0,6870,28672.5,21035,0,15655,0,38836,0,0,0,0,0,0,0,0,0,66038,0,0,0,3255,0,0,0,44794.5,0,9852.5,0,0,0,46075.5,0,0,0,0,0,24419,5375,0,0,14360.5,0,0,0,0,14344,0,0,11482,3234.5,52269.5,13357.5,0,13717.5,4845,16027,0,10526.5,0,2480.5
OB_S100_A1000000_D50_R300_MetaPhlan2,0,12001.9,0,0,0,0,0,0,0,0,21770.3,0,0,8165.1,0,0,2290.5,0,0,0,0,0,0,0,0,0,21053.6,32192,0,9992.9,0,0,0,0,0,12096.4,10580.5,0,0,0,59124.2,0,0,8307.5,6594.6,0,0,0,0,7590.5,0,41037.2,0,0,0,0,0,0,0,2966.8,28150.4,14373.8,2637.4,0,0,8083.5,0,0,0,0,0,0,0,0,0,28692.5,0,0,0,4545,0,0,0,25715.7,0,2003.6,0,0,0,0,0,0,0,0,0,4991.2,10616.1,0,0,26509.9,0,0,0,0,0,0,0,61211.1,6148.2,9863.8,4862.9,0,67381.2,0,67271.9,1865.8,0,0,0
OB_S100_A1000000_D50_R300_PathoScope2,0,28671,0,0,0,0,0,0,0,0,75223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63756.5,13316,0,26668,0,0,0,0,0,182188.5,0,0,0,0,26056.5,9599,0,11579.5,0,0,0,0,0,0,0,13698,0,0,0,0,0,0,0,0,26401,17410.5,0,14618.5,0,37539.5,0,0,0,0,0,0,0,0,0,65233.5,0,0,0,0,0,0,0,44725,0,9849,0,0,0,43648,0,0,0,0,0,24319,0,0,0,13730,0,0,0,0,12230.5,0,0,11296.5,0,45822,12460.5,0,13719.5,0,16043.5,0,8998,0,0
OB_S100_A1000000_D50_R300_Sigma,0,45981.41,0,0,0,0,0,0,0,0,112783.5,0,0,20727.285,0,0,4642.763,0,0,0,0,0,0,11559.5,0,0,0,12346,0,14087.4,0,0,0,0,0,282225.21,0,0,0,0,19692.7,14407.7,0,7150.65,0,0,0,0,5810.95,4666.78,0,20556.1,0,0,0,0,0,0,0,9004.72,8375.58,13329.12,0,25962.38,0,42627.485,0,0,0,0,0,0,0,0,0,80422.87,0,0,0,4932.55,0,0,0,41254.7,0,14785.6,0,0,0,3114.189,0,0,0,0,0,36342.26,6388.43,0,0,16397.4,0,0,0,0,0,0,0,0,0,75379.788,16558.16,0,20601.2,0,0,3382.97,0,0,3591.429
OB_S100_A1000000_D50_R300_Taxator-tk,0,28483.5,0,0,0,0,0,0,109,0,8273.5,0,0,12348,0,0,4955,0,0,0,0,0,0,0,0,193,62375.5,6672,0,29677,0,0,0,0,0,183040,145,121,0,0,19566.5,3106.5,0,13499.5,34.5,0,0,0,176,133.5,0,5319.5,0,0,0,0,0,0,0,5935.5,25168,19699.5,1115.5,16220.5,0,37477.5,0,0,0,0,0,0,0,0,0,58255,0,0,0,2912,0,0,0,0,0,9392,0,0,0,6701.5,0,0,0,0,0,22917,2074.5,0,0,9127,0,0,0,0,10657,0,0,166.5,2413,48943,12728.5,0,443,458.5,987,687.5,6124.5,0,714
OB_S100_A1000000_D50_R75_Centrifuge,0,42664.5,0,0,0,0,0,0,1331.5,0,40426,0,0,6969.5,0,0,5199.5,0,0,0,0,0,0,0,0,2946.5,58750,10298,0,21313,0,0,0,0,0,181192,2310,1427,0,0,13187,4911,0,11763,752,0,0,0,1933.5,3203,0,11682,0,0,0,0,0,0,0,7607,19884.5,23188,1003.5,19685,0,39313.5,0,0,0,0,0,0,0,0,0,64333.5,0,0,0,2574.5,0,0,0,36735,0,11591.5,0,0,0,24082,0,0,0,0,0,16489,4491.5,0,0,15321.5,0,0,0,0,10872.5,0,0,5745,2138.5,41593.5,11130.5,0,6876,2487.5,8053.5,1440,5191.5,0,1418
OB_S100_A1000000_D50_R75_Constrains,0,11274.9,0,0,0,0,0,0,0,0,23387.8,0,0,7559.4,0,0,2135.5,0,0,0,0,0,0,0,0,0,19712.7,29077.9,0,12358.2,0,0,0,0,0,11483,11052.8,0,0,0,50298.9,0,0,7496.5,6395.2,0,0,0,0,8099.4,0,48350.6,0,0,0,0,0,0,0,2973.3,25772,13720.5,2913.4,0,0,8346.7,0,0,0,0,0,0,0,0,0,27268.1,0,0,0,4605.1,0,0,0,23632.4,0,1995.6,0,0,0,7.6,0,0,0,0,0,4683.5,10631.6,0,0,25173.1,0,0,0,0,0,0,0,58483.8,6594.5,9978,4626.2,0,62188.7,0,63142.4,1855.6,0,0,0
OB_S100_A1000000_D50_R75_Kraken,0,31194,0,0,0,0,0,0,2648,0,75410,0,0,13421,0,0,2381,0,0,0,0,0,0,0,0,5890,64961,13161,0,31273,0,0,0,0,0,49033,4620,2847,0,0,26119,9745,0,13829,1382,0,0,0,3867,3216,0,13827,0,0,0,0,0,0,0,1882,28791,20584,1454,16493,0,39031,0,0,0,0,0,0,0,0,0,18028,0,0,0,3370,0,0,0,21302,0,9968,0,0,0,45522,0,0,0,0,0,873,5254,0,0,4469,0,0,0,0,13310,0,0,11033,3488,51364,2677,0,13603,4919,16107,0,10335,0,32
OB_S100_A1000000_D50_R75_MetaMix*,0,31184.5,0,0,0,0,0,0,2644,0,74901.5,0,0,0,0,0,6071,0,0,0,0,0,0,0,0,5883.5,64973.5,13193,0,31014,0,0,0,0,0,189143,4601.5,2812.5,0,0,24837,9766.5,0,13928.5,0,0,0,0,3849,3202.5,0,13890.5,0,0,0,0,0,0,0,6900.5,28119.5,20646.5,1439.5,17030,0,38862.5,0,0,0,0,0,0,0,0,0,65583.5,0,0,0,3353.5,0,0,0,44750,0,9947,0,0,0,45385.5,0,0,0,0,0,24161.5,5275.5,0,0,14482.5,0,0,0,0,14132.5,0,0,11098.5,3470.5,52525,13212,0,13692.5,4952.5,15855.5,2276.5,10285.5,0,2517
OB_S100_A1000000_D50_R75_MetaPhlan2,0,11274.9,0,0,0,0,0,0,0,0,23387.8,0,0,7559.4,0,0,2135.5,0,0,0,0,0,0,0,0,0,19712.7,29077.9,0,12358.2,0,0,0,0,0,11483,11052.8,0,0,0,50298.9,0,0,7496.5,6395.2,0,0,0,0,8099.4,0,48350.6,0,0,0,0,0,0,0,2973.3,25772,13720.5,2913.4,0,0,8346.7,0,0,0,0,0,0,0,0,0,27268.1,0,0,0,4605.1,0,0,0,23632.4,0,1995.6,0,0,0,7.6,0,0,0,0,0,4683.5,10631.6,0,0,25173.1,0,0,0,0,0,0,0,58483.8,6594.5,9978,4626.2,0,62188.7,0,63142.4,1855.6,0,0,0
OB_S100_A1000000_D50_R75_PathoScope2,0,28977,0,0,0,0,0,0,0,0,75493.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63740.5,13148.5,0,27184,0,0,0,0,0,184210,0,0,0,0,26241.5,9771.5,0,11868.5,0,0,0,0,0,0,0,13914,0,0,0,0,0,0,0,0,26636,17996.5,0,14554,0,37812,0,0,0,0,0,0,0,0,0,65227.5,0,0,0,0,0,0,0,44760,0,9974,0,0,0,43491.5,0,0,0,0,0,24230,0,0,0,14017,0,0,0,0,12514,0,0,10983,0,50048.5,12166,0,13802.5,0,16108,0,0,0,0
OB_S100_A1000000_D50_R75_Sigma,0,41821.94,0,0,0,0,0,0,0,0,101844.9,0,0,18779.688,0,0,6076.54,0,0,0,0,0,0,10775.3,0,0,0,13916.4,0,31560.3,0,0,0,0,0,254636.87,0,0,0,0,19004.2,13189.7,0,14315.9,0,0,0,0,5224.65,4384.79,0,18779.9,0,0,0,0,0,0,0,8774.22,17912.51,23183.99,0,23240.87,0,47122.9,0,0,0,0,0,0,0,0,0,82763.09,0,0,0,4569.71,0,0,0,50841.4,0,13471.4,0,0,0,2850.88,0,0,0,0,0,32736.501,6336.46,0,0,17449.7,0,0,0,0,0,0,0,0,0,70577.672,16592.59,0,18732.7,0,0,3051.43,165.107,0,3386.14
OB_S100_A1000000_D50_R75_Taxator-tk,0,21073,0,0,0,0,0,0,34.5,0,2450,0,0,8409.5,0,0,3694,0,0,0,0,0,0,0,0,105.5,52069.5,2987.5,0,24953.5,0,0,0,0,0,167813,55,49.5,0,0,10284.5,1488.5,0,11461.5,13.5,0,0,0,76,52.5,0,2245,0,0,0,0,0,0,0,3462.5,20674,14354,630.5,11721,0,30257,0,0,0,0,0,0,0,0,0,29409.5,0,0,0,1924.5,0,0,0,0,0,7707,0,0,0,2266.5,0,0,0,0,0,15533,1002,0,0,4290.5,0,0,0,0,5170,0,0,81,1439.5,34999,9555,0,203,256.5,401,216,2930.5,0,260
OB_S100_A1000000_D50_Rall,0,5875,0,0,0,0,0,0,3978,0,41263,0,0,20251,0,0,6743,0,0,0,0,0,0,18489,0,3065,74201,16514,0,20882,0,0,0,0,0,107096,3024,4240,0,0,33789,16995,0,20647,1995,0,0,0,3975,4561,0,16939,0,0,0,0,0,0,0,6271,38035,20565,2376,20474,0,37387,0,0,0,0,0,0,0,0,0,85759,0,0,0,3991,0,0,0,50937,0,4321,0,0,0,40721,0,0,0,16453,0,24258,5969,0,0,19278,0,0,0,0,20471,0,0,16477,4543,69480,20068,0,16486,4069,16164,5660,7190,0,1554
OB_S100_A10000000_D1_R1000_Centrifuge,0,13924,0,0,0,0,0,0,15417.5,0,4246212,0,0,31833.5,0,0,33585.5,0,0,0,0,0,0,0,0,34748,131216,15413,0,150170,0,0,0,0,0,747823,54583.5,15821.5,0,0,25918,14487,0,37886.5,15586.5,0,0,0,10375.5,30367.5,0,16319.5,0,0,0,0,0,0,0,22031.5,58792.5,27847.5,19797.5,38419,0,52734.5,0,0,0,0,0,0,0,0,0,137785,0,0,0,12403.5,0,0,0,55100.5,0,9848,0,0,0,90863.5,0,0,0,0,0,66323.5,29076,0,0,49734.5,0,0,0,0,34074,0,0,15558.5,14949.5,161420,75951,0,11060,4023.5,9154,41977,18777,0,55313
OB_S100_A10000000_D1_R1000_Constrains,0,7028,0,0,0,0,0,0,0,0,3834924,0,0,86777,0,0,45182,0,0,0,0,0,0,0,0,0,98852,115945,0,207640,0,0,0,0,0,98212,619406,0,0,0,222673,0,0,75721,329183,0,0,0,0,178887,0,259713,0,0,0,0,0,0,0,20514,169295,42050,172649,0,0,15152,0,0,0,0,0,0,0,0,0,130558,0,0,0,77879,0,0,0,72114,0,6520,0,0,0,6317,0,0,0,0,0,33851,176986,0,0,227131,0,0,0,0,0,0,0,310400,113728,56718,81572,0,215101,0,160928,103272,0,0,43514
OB_S100_A10000000_D1_R1000_Kraken,0,11318,0,0,0,0,0,0,30836,0,6744016,0,0,62625,0,0,27267,0,0,0,0,0,0,0,0,69495,143094,22573,0,281083,0,0,0,0,0,359778,109170,31626,0,0,51810,28870,0,62271,30919,0,0,0,20752,30913,0,22315,0,0,0,0,0,0,0,8193,84080,30387,32860,41866,0,42144,0,0,0,0,0,0,0,0,0,75529,0,0,0,22869,0,0,0,38731,0,15595,0,0,0,156598,0,0,0,0,0,7854,39085,0,0,25941,0,0,0,0,60472,0,0,30736,27518,141997,46405,0,22055,7881,18312,0,37265,0,5081
OB_S100_A10000000_D1_R1000_MetaPhlan2,0,7028,0,0,0,0,0,0,0,0,3834924,0,0,86777,0,0,45182,0,0,0,0,0,0,0,0,0,98852,115945,0,207640,0,0,0,0,0,98212,619406,0,0,0,222673,0,0,75721,329183,0,0,0,0,178887,0,259713,0,0,0,0,0,0,0,20514,169295,42050,172649,0,0,15152,0,0,0,0,0,0,0,0,0,130558,0,0,0,77879,0,0,0,72114,0,6520,0,0,0,6317,0,0,0,0,0,33851,176986,0,0,227131,0,0,0,0,0,0,0,310400,113728,56718,81572,0,215101,0,160928,103272,0,0,43514
OB_S100_A10000000_D1_R1000_PathoScope2,0,0,0,0,0,0,0,0,0,0,6744093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69511,0,0,0,245345,0,0,0,0,0,666591.5,0,0,0,0,27559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19754.5,0,0,0,24059,0,41670.5,0,0,0,0,0,0,0,0,0,131228,0,0,0,0,0,0,0,51993,0,15595,0,0,0,156598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33367.5,0,120726,67276,0,0,0,0,0,0,0,0
