OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S10_A1000000_D50_R1000_Kraken,0,0,0,0,0,0,0,0,0,0,299511,0,0,0,0,0,56362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26899,0,0,0,0,0,0,0,0,0,123799,0,0,0,0,0,0,0,0,0,0,0,65169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23521,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R1000_MetaMix*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29651,0,0,0,0,0,0,0,0,0,126078,0,0,0,0,0,0,0,0,0,0,0,107672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33953.5,0,0,220431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R1000_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,133618,0,0,0,0,0,109397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34525.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74612.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10490.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58046.5,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R1000_PathoScope2,0,0,0,0,0,0,0,0,0,0,299524,0,0,0,0,0,112856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29242,0,0,0,0,0,0,0,0,0,125086,0,0,0,0,0,0,0,0,0,0,0,107522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31655.5,0,0,220386,0,0,0,0,0,0,0,0,0,0,0,0,23504,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R1000_Sigma,0,0,0,0,0,0,0,0,0,0,426291,0,0,0,0,0,104578.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41403.7,0,0,0,0,0,0,0,0,0,44051.854,0,0,0,0,0,0,0,0,0,0,0,59469.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11039.46,0,0,312829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R1000_Taxator-tk,0,0,0,0,0,0,0,0,0,0,53945,0,0,0,0,0,104630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26431,0,0,0,0,0,0,0,0,0,115972,0,0,0,0,0,0,0,0,0,0,0,99914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30816,0,0,200858,0,0,0,0,0,0,0,0,0,0,0,0,21561,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R150_Centrifuge,0,0,0,0,0,0,0,0,0,0,166451,0,0,0,0,0,115696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45867,0,0,0,0,0,0,0,0,0,74596.5,0,0,0,0,0,0,0,0,0,0,0,118436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30903.5,0,0,110471,0,0,0,0,0,0,0,0,0,0,0,0,14858.5,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R150_Constrains,0,0,0,0,0,0,0,0,0,0,133885,0,0,0,0,0,78472.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63094.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8825.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47108.5,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R150_Kraken,0,0,0,0,0,0,0,0,0,0,299988,0,0,0,0,0,45520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24834,0,0,0,0,0,0,0,0,0,123538,0,0,0,0,0,0,0,0,0,0,0,51906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23883,0,0,0,0,0,0,0
OB_S10_A1000000_D50_R150_MetaMix*,0,0,0,0,0,0,0,0,0,0,299804,0,0,0,0,0,112166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29142,0,0,0,0,0,0,0,0,0,125210,0,0,0,0,0,0,0,0,0,0,0,107188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31776,0,0,220176,0,0,0,0,0,0,0,0,0,0,0,0,23918.5,0,0,0,0,0,0,0
