OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Trichomonas.vaginalis,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis,Pseudomonas.protegens
OB_S10_A10000000_D100_R1000_Centrifuge,0,0,0,0,0,0,0,0,0,0,1771400,0,0,0,0,0,777430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533410,0,0,0,0,0,0,0,0,0,423132,0,0,0,0,0,0,0,0,0,0,0,806216,0,336339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868650,0,0,752168,0,0,0,0,0,0,0,0,0,0,0,0,430564,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R1000_Kraken,0,0,0,0,0,0,0,0,0,0,2524880,0,0,0,0,0,392473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919743,0,0,0,0,0,0,0,0,0,786525,0,0,0,0,0,0,0,0,0,0,0,452903,0,672752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878644,0,0,1502133,0,0,0,0,0,0,0,0,0,0,0,0,728035,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R1000_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,615735,0,0,0,0,0,482042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172371,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R1000_PathoScope2,0,0,0,0,0,0,0,0,0,0,2398913,0,0,0,0,0,783525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997048,0,0,0,0,0,0,0,0,0,794656,0,0,0,0,0,0,0,0,0,0,0,746062,0,672747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921344,0,0,1502148,0,0,0,0,0,0,0,0,0,0,0,0,728163,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R1000_Taxator-tk,0,0,0,0,0,0,0,0,0,0,766478,0,0,0,0,0,726829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903663,0,0,0,0,0,0,0,0,0,737743,0,0,0,0,0,0,0,0,0,0,0,692700,0,18112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895887,0,0,1370309,0,0,0,0,0,0,0,0,0,0,0,0,667951,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R150_Centrifuge,0,0,0,0,0,0,0,0,0,0,1494160,0,0,0,0,0,808015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574131,0,0,0,0,0,0,0,0,0,474304,0,0,0,0,0,0,0,0,0,0,0,823962,0,336695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894306,0,0,752996,0,0,0,0,0,0,0,0,0,0,0,0,452534,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R150_Kraken,0,0,0,0,0,0,0,0,0,0,2445928,0,0,0,0,0,318971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851419,0,0,0,0,0,0,0,0,0,784250,0,0,0,0,0,0,0,0,0,0,0,360484,0,673390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820854,0,0,1501131,0,0,0,0,0,0,0,0,0,0,0,0,726143,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R150_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,688432,0,0,0,0,0,392859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097462,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R150_PathoScope2,0,0,0,0,0,0,0,0,0,0,2341889.5,0,0,0,0,0,783786.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999822,0,0,0,0,0,0,0,0,0,795647.5,0,0,0,0,0,0,0,0,0,0,0,746026.5,0,673384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919624.5,0,0,1501129,0,0,0,0,0,0,0,0,0,0,0,0,727117,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D100_R150_Taxator-tk,0,0,0,0,0,0,0,0,0,0,435392,0,0,0,0,0,645332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710484,0,0,0,0,0,0,0,0,0,668036,0,0,0,0,0,0,0,0,0,0,0,531398,0,6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759954,0,0,1196770,0,0,0,0,0,0,0,0,0,0,0,0,591725,0,0,0,0,0,0,0,0,0
